IMAGE_SIZE,THREADS,SEQ_TIME,PARALLEL_TIME,SPEEDUP,EFFICIENCY,GFLOPS
512,1,0.2,1.0,0.2,0.2,3.932
512,2,0.2,0.0,inf,inf,0.0
512,4,0.2,0.0,inf,inf,0.0
512,8,0.2,0.0,inf,inf,0.0
1024,1,1.0,4.4,0.22727272727272727,0.22727272727272727,3.575
1024,2,1.0,2.4,0.4166666666666667,0.20833333333333334,6.554
1024,4,1.0,1.2,0.8333333333333334,0.20833333333333334,13.107
1024,8,1.0,1.0,1.0,0.125,15.729
2048,1,4.0,36.2,0.11049723756906077,0.11049723756906077,1.738
2048,2,4.0,16.4,0.24390243902439027,0.12195121951219513,3.836
2048,4,4.0,9.0,0.4444444444444444,0.1111111111111111,6.991
2048,8,4.0,7.8,0.5128205128205129,0.06410256410256411,8.066
